nom,vietnamese_clean,source,file_name
大越史記續編序,đại việt sử kí tục biên tự,DVSKTT,DVSKTT-1.txt
國之有史尙矣,quốc chi hữu sử thượng hĩ,DVSKTT,DVSKTT-1.txt
我越歷代史記先正黎文休潘孚先作之於前吳士連武瓊述之於後,ngã việt lịch đại sử kí tiên chính lê văn hưu phan phu tiên tác chi ư tiền ngô sĩ liên vũ quỳnh thuật chi ư hậu,DVSKTT,DVSKTT-1.txt
其間事蹟之詳畧政治之得失莫不悉備於記载之中,kì gian sự tích chi tường lược chính trị chi đắc thất mạc bất tất bị ư kí tải chi trung,DVSKTT,DVSKTT-1.txt
但未行鋟梓更手傳筆因循抄録不䏻無陶陰帝乕之疑,đãn vị hành tẩm tử cánh thủ truyền bút nhân tuần sao lục bất năng vô đào âm đế hổ chi nghi,DVSKTT,DVSKTT-1.txt
神宗渊皇帝增入國史命曰本紀續編付諸刊刻十纔五六,thần tông uyên hoàng đế tăng nhập quốc sử mệnh viết bbn kỉ tục biên phó chư san khắc thập tài ngũ lục,DVSKTT,DVSKTT-1.txt
第事未告竣猶藏於秘閣,đệ sự vị cáo thuân do tàng ư bí các,DVSKTT,DVSKTT-1.txt
求䏻繼其志而述其事纂其要而集其成盖必有待於今日矣,cầu năng kế kì chí nhi thuật kì sự toản kì yếu nhi tập kì thành cái tất hữu đãi ư kim nhật hĩ,DVSKTT,DVSKTT-1.txt
威德定王整頓乾坤綱維治教專委欽差節制各處水歩諸營兼掌政權太尉晉國公鄭柄賛㐮治化振作文風深帷史記之中明是非而公好惡森乎華衮斧鉞之榮嚴寔為萬世衡鑑,uy đức định vương chỉnh đốn càn khôn cương duy trị giáo chuyên uỷ khâm sai tiết chế các xứ thuỷ bộ chư dinh kiêm chưởng chính quyền thái uý tấn quốc công trịnh bính tán tương trị hoá chấn tác văn phong thâm duy sử kí chi trung minh thị phi nhi công hiếu ố sâm hồ hoa cổn phủ việt chi vinh nghiêm thực vi vạn thế hành giám,DVSKTT,DVSKTT-1.txt
乃於事幾之暇特命臣等訂考𦾔史訛者正之純者録之,nãi ư sự cơ chi hạ đặc mệnh thần đẳng đính khảo cựu sử ngoa giả chính chi thuần giả lục chi,DVSKTT,DVSKTT-1.txt
其世次凣例年表一如前所著述,kì thế thứ phàm lệ niên biểu nhất như tiền sở trước thuật,DVSKTT,DVSKTT-1.txt
又蓃獵𦾔跡參諸野史類編自玄宗穆皇帝景治之𥘉年至嘉宗羙皇帝德元之二年凣十有三載事實亦命曰本紀續編,hựu sưu liệp cựu tích tham chư dã sử loại biên tự huyền tông mục hoàng đế cảnh trị chi sơ niên chí gia tông mĩ hoàng đế đức nguyên chi nhị niên phàm thập hữu tam tải sự thực diệc mệnh viết bản kỉ tục biên,DVSKTT,DVSKTT-1.txt
天百年未集之事績遹底于成,thiên bách niên vị tập chi sự tích duật để vu thành,DVSKTT,DVSKTT-1.txt
天下之人目是編者豁然如覩青天坦然如循大路,thiên hạ chi nhân mục thị biên giả khoát nhiên như đổ thanh thiên thản nhiên như tuần đại lộ,DVSKTT,DVSKTT-1.txt
善者知所激昂惡者知所懲𠬠,thiện giả tri sở khích ngang ác giả tri sở trừng một,DVSKTT,DVSKTT-1.txt
推而為脩齊治平之極功綏来動和之大效端在是矣,suy nhi vi tu tề trị bình chi cực công tuy lai động hoà chi đại hiệu đoan tại thị hĩ,DVSKTT,DVSKTT-1.txt
謹序,cẩn tự,DVSKTT,DVSKTT-1.txt
正和十八年嵗在丁丑仲冬榖日,chính hoà thập bát niên tuế tại đinh sửu trọng đông cốc nhật,DVSKTT,DVSKTT-1.txt
奉㫖考編特進金紫榮禄大夫參從刑部尙書知中書監萊山子臣黎僖,phụng chỉ khảo biên đặc tiến kim tử vinh lộc đại phu tham tụng hình bộ thượng thư tri trung thư giám lai sơn tử thần lê hi,DVSKTT,DVSKTT-1.txt
光進慎禄大夫陪從户部右侍郎廉堂男臣阮貴德,quang tiến thận lộc đại phu bồi tụng hộ bộ hữu thị lang liêm đường nam thần nguyễn quý đức,DVSKTT,DVSKTT-1.txt
弘信大夫陪從太僕寺卿知侍内書寫兵番臣阮公董,hoằng tín đại phu bồi tụng thái bộc tự khanh tri thị nội thư tả binh phiên thần nguyễn công đổng,DVSKTT,DVSKTT-1.txt
番臣武城,phiên thần vũ thạnh,DVSKTT,DVSKTT-1.txt
弘信大夫陪從奉天府尹知水師臣何宗穆,hoằng tín đại phu bồi tụng phụng thiên phủ doãn tri thuỷ sư thần hà tông mục,DVSKTT,DVSKTT-1.txt
進功郎陪從吏科級事中知侍内書寫户番臣阮行,tiến công lang bồi tụng lại khoa cấp sự trung tri thị nội thư tả hộ phiên thần nguyễn hành,DVSKTT,DVSKTT-1.txt
進功郎户科給事中臣阮致中,tiến công lang hộ khoa cấp sự trung thần nguyễn trí trung,DVSKTT,DVSKTT-1.txt
進功郎工科給事中臣阮當褒,tiến công lang công khoa cấp sự trung thần nguyễn đương bao,DVSKTT,DVSKTT-1.txt
謹事郎翰林院校理臣阮邁,cẩn sự lang hàn lâm viện hiệu lí thần nguyễn mại,DVSKTT,DVSKTT-1.txt
謹事佐郎翰林院校討臣阮湖,cẩn sự tá lang hàn lâm viện hiệu thảo thần nguyễn hồi,DVSKTT,DVSKTT-1.txt
謹事佐郎翰林院校討臣吳公擢,cẩn sự tá lang hàn lâm viện hiệu thảo thần ngô công trạc,DVSKTT,DVSKTT-1.txt
進功郎昭文舘司訓臣陳附翼,tiến công lang chiêu văn quán ti huấn thần trần phụ dực,DVSKTT,DVSKTT-1.txt
進功郎昭文舘司訓臣杜公弼,tiến công lang chiêu văn quán ti huấn thần đỗ công bật,DVSKTT,DVSKTT-1.txt
内差特進金紫榮禄大夫司禮監總太監副知侍内書寫兵番寬海侯臣范廷僚奉監謄刊,nội sai đặc tiến kim tử vinh lộc đại phu tư lễ giám tổng thái giám phó tri thị nội thư tả binh phiên khoan hải hầu thần phạm đình liêu phụng giám đằng san,DVSKTT,DVSKTT-1.txt
内差特進金紫榮禄大夫司禮監同知監事僉知歩兵書寫令史校義侯臣阮成名奉監謄刊,nội sai đặc tiến kim tử vinh lộc đại phu tư lễ giám đồng tri giám sự thiêm tri bộ binh thư tả lệnh sử hiệu nghĩa hầu thần nguyễn thành danh phụng giám đằng san,DVSKTT,DVSKTT-1.txt
珪祥侯臣阮俊堂奉監謄刊,khuê tường hầu thần nguyễn tuấn đường phụng giám đằng san,DVSKTT,DVSKTT-1.txt
内差特進金紫縈禄大夫司禮監左監丞望祥侯臣吳冠倫奉監謄刊,nội sai đặc tiến kim tử vinh lộc đại phu tư lễ giám tả giám thừa vọng tường hầu thần ngô quán luân phụng giám đằng san,DVSKTT,DVSKTT-1.txt
特進金紫縈禄大夫少卿副勾󰧇将臣吏燿堂子臣吳德勝奉㸔謄寫,đặc tiến kim tử vinh lộc đại phu thiếu khanh phó câu kê tướng thần lại diệu đường tử thần ngô đức thắng phụng khán đằng tả,DVSKTT,DVSKTT-1.txt
副該合将臣吏少卿洪江男臣棃仕勳奉属㸔謄,phó cai hợp tướng thần lại thiếu khanh hồng giang nam thần lê sĩ huân phụng thuộc khán đằng,DVSKTT,DVSKTT-1.txt
優中侍内書寫兵番臣髙登朝奉謄,ưu trúng thị nội thư tả binh phiên thần cao đăng triều phụng đằng,DVSKTT,DVSKTT-1.txt
優中侍内書寫兵番臣杜公廉奉謄,ưu trúng thị nội thư tả binh phiên thần đỗ công liêm phụng đằng,DVSKTT,DVSKTT-1.txt
優中侍内書寫水兵番臣鄧有斐奉謄,ưu trúng thị nội thư tả thuỷ binh phiên thần đặng hữu phỉ phụng đằng,DVSKTT,DVSKTT-1.txt
優中都吏臣阮有德奉謄,ưu trúng đô lại thần nguyễn hữu đức phụng đằng,DVSKTT,DVSKTT-1.txt
梓人紅录柳幢等社人奉刊,tử nhân hồng lục liễu chàng đẳng xã nhân phụng san,DVSKTT,DVSKTT-1.txt
大越史記續編書,đại việt sử kí tục biên thư,DVSKTT,DVSKTT-1.txt
國史何為而作也盖史以記事為主,quốc sử hà vi nhi tác dã cái sử dĩ kí sự vi chủ,DVSKTT,DVSKTT-1.txt
有一代之治必有一代之史,hữu nhất đại chi trị tất hữu nhất đại chi sử,DVSKTT,DVSKTT-1.txt
而史之載筆持論甚嚴如黼黻至治與日月而並明铁鉞亂賊與秋霜而俱厲,nhi sử chi tải bút trì luận thậm nghiêm như phủ phất chí trị dữ nhật nguyệt nhi tịnh minh thiết việt loạn tặc dữ thu sương nhi cụ lệ,DVSKTT,DVSKTT-1.txt
善者知可以為法惡者知可以為戒䦕係治體不為不多,thiện giả tri khả dĩ vi pháp ác giả tri khả dĩ vi giới quan hệ trị thể bất vi bất đa,DVSKTT,DVSKTT-1.txt
故有爲而作也,cố hữu vi nhi tác dã,DVSKTT,DVSKTT-1.txt
於史󰀋之中,ư sử sách chi trung,DVSKTT,DVSKTT-1.txt
試嘗考之昔翰林院學士兼國史院監修黎文休承陳太宗之命編大越史記自趙武帝至李昭皇及修史官潘孚先奉皇朝仁宗命續編大越史記自陳太宗至明人還國,thí thường khảo chi tích hàn lâm viện học sĩ kiêm quốc sử viện giám tu lê văn hưu thừa trần thái tông chi mệnh biên đại việt sử kí tự triệu vũ đế chí lí chiêu hoàng cập tu sử quan phan phu tiên phụng hoàng triều nhân tông mệnh tục biên đại việt sử kí tự trần thái tông chí minh nhân hoàn quốc,DVSKTT,DVSKTT-1.txt
其抑揚大義已昭昭於史筆之公論矣,kì ức dương đại nghĩa dĩ chiêu chiêu ư sử bút chi công luận hĩ,DVSKTT,DVSKTT-1.txt
迨聖宗淳皇帝稟睿智之資厲英雄之志拓土開疆創法定制尤䏻留意史籍,đãi thánh tông thuần hoàng đế lẫm duệ trí chi tư lệ anh hùng chi chí thác thổ khai cương sáng pháp định chế vưu năng lưu ý sử tịch,DVSKTT,DVSKTT-1.txt
乃於洪德十年間命禮部左侍郎兼國子監司業吳士連纂修大越史記全書,nãi ư hồng đức thập niên gian mệnh lễ bộ tả thị lang kiêm quốc tử giám tư nghiệp ngô sĩ liên toản tu đại việt sử kí toàn thư,DVSKTT,DVSKTT-1.txt
襄翼帝於洪順三年命兵部尙書兼國子監司業兼史官都總裁武󰔂撰大越通鑑述自鴻庞氏至十二使君别為外紀自丁先皇至國朝太祖髙皇帝大定天下𥘉年為本紀,tương dực đế ư hồng thuận tam niên mệnh binh bộ thượng thư kiêm quốc tử giám tư nghiệp kiêm sử quan đô tổng tài vũ quỳnh soạn đại việt thông giám thuật tự hồng bàng thị chí thập nhị sứ quân biệt vi ngoại kỉ tự đinh tiên hoàng chí quốc triều thái tổ cao hoàng đế đại định thiên hạ sơ niên vi bản kỉ,DVSKTT,DVSKTT-1.txt
其筆削大法又炳炳於史筆之徵㫖矣,kì bút tước đại pháp hựu bính bính ư sử bút chi trưng chỉ hĩ,DVSKTT,DVSKTT-1.txt
